id,name,source,pack,category,tags,triangles,vertices,groups,animMode,hasUV,textured,sizeX,sizeY,sizeZ,bytes,file
kaykit/block-bits-1.0/anvil,"anvil",kaykit,block-bits-1.0,props-environments,"tool toy",342,1026,1,whole-model,True,True,2.000,2.000,2.308,23610,kaykit/block-bits-1.0/anvil.obj
kaykit/block-bits-1.0/apple,"apple",kaykit,block-bits-1.0,props-environments,"food toy",596,1788,1,whole-model,True,True,2.050,2.474,2.050,38684,kaykit/block-bits-1.0/apple.obj
kaykit/block-bits-1.0/barrel,"barrel",kaykit,block-bits-1.0,props-environments,"container toy",1012,3036,1,whole-model,True,True,2.000,2.020,2.000,69076,kaykit/block-bits-1.0/barrel.obj
kaykit/block-bits-1.0/battery,"battery",kaykit,block-bits-1.0,props-environments,"toy",912,2736,1,whole-model,True,True,2.000,2.100,2.000,63904,kaykit/block-bits-1.0/battery.obj
kaykit/block-bits-1.0/books_A,"books_A",kaykit,block-bits-1.0,props-environments,"toy",820,2460,1,whole-model,True,True,2.000,2.000,2.010,51951,kaykit/block-bits-1.0/books_A.obj
kaykit/block-bits-1.0/books_B,"books_B",kaykit,block-bits-1.0,props-environments,"toy",820,2460,1,whole-model,True,True,2.000,2.000,2.010,51951,kaykit/block-bits-1.0/books_B.obj
kaykit/block-bits-1.0/bricks_A,"bricks_A",kaykit,block-bits-1.0,props-environments,"toy",844,2532,1,whole-model,True,True,2.000,2.000,2.000,52666,kaykit/block-bits-1.0/bricks_A.obj
kaykit/block-bits-1.0/bricks_B,"bricks_B",kaykit,block-bits-1.0,props-environments,"toy",844,2532,1,whole-model,True,True,2.000,2.000,2.000,52666,kaykit/block-bits-1.0/bricks_B.obj
kaykit/block-bits-1.0/chest,"chest",kaykit,block-bits-1.0,props-environments,"container toy",946,2838,1,whole-model,True,True,2.100,2.150,2.160,71615,kaykit/block-bits-1.0/chest.obj
kaykit/block-bits-1.0/colored_block_blue,"colored_block_blue",kaykit,block-bits-1.0,props-environments,"toy",108,324,1,whole-model,True,True,2.000,2.000,2.000,7416,kaykit/block-bits-1.0/colored_block_blue.obj
kaykit/block-bits-1.0/colored_block_green,"colored_block_green",kaykit,block-bits-1.0,props-environments,"toy",108,324,1,whole-model,True,True,2.000,2.000,2.000,7418,kaykit/block-bits-1.0/colored_block_green.obj
kaykit/block-bits-1.0/colored_block_red,"colored_block_red",kaykit,block-bits-1.0,props-environments,"toy",108,324,1,whole-model,True,True,2.000,2.000,2.000,7414,kaykit/block-bits-1.0/colored_block_red.obj
kaykit/block-bits-1.0/colored_block_yellow,"colored_block_yellow",kaykit,block-bits-1.0,props-environments,"toy",108,324,1,whole-model,True,True,2.000,2.000,2.000,7420,kaykit/block-bits-1.0/colored_block_yellow.obj
kaykit/block-bits-1.0/computer,"computer",kaykit,block-bits-1.0,props-environments,"toy",466,1398,1,whole-model,True,True,2.000,2.000,2.148,31742,kaykit/block-bits-1.0/computer.obj
kaykit/block-bits-1.0/crate,"crate",kaykit,block-bits-1.0,props-environments,"container toy",344,1032,1,whole-model,True,True,2.000,2.000,2.000,25300,kaykit/block-bits-1.0/crate.obj
